[header]
width=20
height=60
tilewidth=64
tileheight=32
music=music/magical_theme.ogg
tileset=tilesetdefs/tileset_dungeon.txt
title=Hell's bridge

[tilesets]
tileset=../../../tiled/dungeon/tiled_collision.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon.png,64,128,0,0
tileset=../../../tiled/dungeon/set_rules.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon_2x2.png,128,64,0,16
tileset=../../../tiled/dungeon/door_left.png,64,128,-16,-8
tileset=../../../tiled/dungeon/door_right.png,64,128,16,-8
tileset=../../../tiled/dungeon/stairs.png,256,256,0,48

[layer]
type=background
data=
19,42,37,36,45,41,46,39,43,17,17,39,44,43,43,45,46,41,37,0,
20,37,44,38,39,42,36,42,36,37,39,46,38,40,37,44,38,43,22,49,
20,47,41,45,37,38,44,45,40,46,39,36,42,46,41,42,39,38,22,49,
20,46,44,47,44,47,41,43,37,47,44,41,46,47,39,36,47,41,22,49,
20,37,40,41,39,45,46,41,39,42,46,42,47,37,44,46,42,41,22,49,
20,41,43,38,36,37,44,38,42,38,41,39,46,41,45,41,42,43,22,49,
20,46,38,44,43,37,46,42,41,46,44,38,42,37,43,42,43,46,22,49,
20,36,47,40,36,41,38,44,41,42,43,36,47,47,45,41,43,41,22,49,
20,44,47,40,44,47,46,38,45,44,42,38,43,42,44,43,43,46,22,49,
20,38,47,41,40,23,23,44,38,37,39,36,23,23,39,46,36,37,22,49,
20,42,39,38,22,48,50,20,47,45,42,22,48,50,20,47,43,44,22,49,
20,38,42,36,22,49,0,20,41,40,45,22,49,0,20,40,40,39,22,49,
20,47,41,47,22,49,0,20,40,36,39,22,49,0,20,43,43,46,22,49,
20,38,44,38,22,49,0,20,42,46,36,22,49,0,20,46,42,42,22,49,
20,46,42,36,22,49,0,20,38,44,36,22,49,0,20,42,46,38,22,49,
20,41,42,47,22,49,0,20,46,39,47,22,49,0,20,46,37,40,22,49,
20,38,41,41,22,49,0,20,43,40,38,22,49,0,20,36,38,41,22,49,
20,41,42,39,22,49,0,20,37,44,44,22,49,0,20,45,41,39,22,49,
20,44,44,39,22,49,0,20,42,43,42,22,49,0,20,41,37,44,22,49,
20,40,46,46,22,49,0,20,41,43,37,22,49,0,20,38,47,45,22,49,
20,39,41,41,22,49,0,20,39,45,46,22,49,0,20,42,36,37,22,49,
20,45,38,43,22,49,0,20,46,40,43,22,49,0,20,39,38,39,22,49,
20,39,46,45,22,49,0,20,45,36,42,22,49,0,20,40,42,40,22,49,
20,42,38,40,22,49,0,20,42,39,46,22,49,0,20,44,46,42,22,49,
20,46,57,38,22,49,0,20,42,42,37,22,49,0,20,38,47,38,22,49,
20,41,47,43,22,49,0,20,46,44,37,22,49,0,20,43,40,41,22,49,
27,23,23,23,26,49,0,20,37,46,45,22,49,0,27,23,23,23,26,49,
50,50,50,50,50,0,0,20,40,40,42,22,49,0,50,50,50,50,50,0,
0,0,0,0,0,0,0,20,39,44,41,22,49,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,20,38,36,44,22,49,0,0,0,0,0,0,0,
24,21,21,21,25,49,0,20,43,45,43,22,49,0,24,21,21,21,25,49,
20,46,39,43,22,49,0,20,41,43,40,22,49,0,20,41,42,43,22,49,
20,45,39,44,22,49,0,20,36,37,42,22,49,0,20,38,36,45,22,49,
20,45,40,43,22,49,0,20,45,41,45,22,49,0,20,37,43,45,22,49,
20,43,38,41,22,49,0,20,45,41,36,22,49,0,20,40,45,42,22,49,
20,48,47,41,22,49,0,20,43,41,38,22,49,0,20,41,38,48,22,49,
27,23,23,23,26,49,0,20,47,47,44,22,49,0,27,23,23,23,26,49,
50,50,50,50,50,0,0,20,46,40,46,22,49,0,50,50,50,50,50,0,
0,0,0,0,0,0,0,20,39,46,47,22,49,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,20,45,45,36,22,49,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,20,39,44,43,22,49,0,0,0,0,0,0,0,
0,24,21,21,21,21,21,28,41,43,36,43,21,21,21,21,21,21,25,49,
0,20,42,39,40,46,46,42,43,40,40,45,39,42,39,39,37,36,22,49,
0,20,40,41,38,38,43,46,45,36,43,43,45,44,38,38,42,45,22,49,
0,20,42,36,40,42,43,40,36,47,36,37,43,43,39,37,46,46,22,49,
0,20,43,41,39,40,46,47,42,44,46,46,46,45,40,40,47,37,22,49,
